catalog oridx ra dec mass tau siglb sigD snr baseline cadence
Liu+18 5 122.29468 11.10531 5.95 11.325488062207931 3.463686694168849 0.06543710967754371 1.0888600284612089 1101.0238542000006 7.921034922302163
Liu+18 33 143.53584 17.94556 5.69 10.444028213049439 11.897552507919293 0.06477051797240616 1.2642386907135723 1125.9189120999945 7.263992981290287
Liu+18 34 143.77839 14.97909 6.04 77.74503074398412 21.668469668039766 0.10157932736958719 1.4850014221307433 1125.9568172 9.964219621238938
Liu+18 39 148.08376 32.47412 6.29 16.66667086921692 11.032735676906807 0.055423301690536046 1.0637084894741602 1125.937523200002 5.601679219900507
Liu+18 87 181.80626 27.36378 6.2 79.16925457908069 22.688088455225536 0.07734154798334814 1.0018835283189182 1125.009548599999 4.591875708571425
Liu+18 125 200.32909 30.07328 6.28 69.43942017662553 inf 0.07470616254838372 1.2211479468411466 1127.0410416999948 2.4934536320796346
Liu+18 135 205.64859 26.25945 6.18 48.67479949982828 20.665900971728913 0.1078806447997796 1.9003709394752781 1094.9307869999975 7.064069593548371
Liu+18 148 213.52093 26.56023 6.16 90.97020311678726 30.032075657347505 0.1268707275194376 2.1609342668193947 1126.9971644000034 6.192292112087931
Liu+18 173 226.26005 13.03378 6.19 41.09546354349432 11.647133208370535 0.08660637575431868 1.1666524219716736 1123.9120601999966 9.137496424390216
Liu+18 199 248.75609 30.90337 6.27 30.15779477729624 inf 0.056624926897772605 1.0865035452696254 1124.9488541999963 1.4763108322834597
GH07 24 46.07408606 0.47424342 6.3 39.4557815895438 30.88880641963187 0.0763008891393062 1.323970528754272 953.6771759999974 4.6071361159420166
GH07 63 135.83736492 4.96058679 6.1 94.96973656881633 19.104608502851846 0.0861888753651148 1.5728518779980742 1125.9262963 8.402435047014926
GH07 119 171.65721429 51.57306372 6.1 7.589677408102436 25.456257639274565 0.05921294492516403 1.1451291574616258 1126.0392013999954 3.1630314646067283
GH07 123 173.93979995 64.66814991 6.1 2.998158251486985 inf 0.08476326228163299 1.1260907944490912 1125.9653704000011 1.6780407904619987
GH07 145 188.45800602 63.83255672 6.2 11.01091691771706 19.829400459190747 0.07195739736366724 1.0564971249239086 1126.0364583000046 3.059881680163056
GH07 149 192.84243239 47.41436908 6.2 51.806194468667535 34.41804190376509 0.05982172636491541 1.0228821365312215 1127.0414235999997 2.6707142739336485
GH07 159 199.3129943 48.77508097 6.2 95.61923241848841 inf 0.11643287141652052 1.2669995453049565 1127.0453240999996 1.6009166535511357
GH07 177 215.329694 63.216735 6.2 100.45900458624608 36.01164837495969 0.06724482930851716 1.08559630171231 1126.0174074000024 2.3906951324840815
GH07 215 254.15410929 37.24433717 6.3 57.71875952234149 inf 0.09960112949606315 1.8120369136378636 1124.8478009000028 1.371765610853662
RV15 3 20.49922 -1.04009 7.65 68.7208177940251 inf 0.08639227651114628 2.3659734047151235 948.669664400004 5.127944131891914
RV15 6 46.07405 0.47423 6.5 35.05151405555216 30.808184459968583 0.0760201218813844 1.402929184626009 953.6771759999974 4.62950085436892
RV15 12 118.85534 39.18606 6.74 43.06874886300542 inf 0.052836193989936185 1.3858565333915587 1124.9570486000011 2.562544529840549
RV15 17 120.68084 31.06759 7.8 99.35770311037324 34.033110638473346 0.10328654349161265 2.405296710808049 1123.9984607000006 6.175815718131871
RV15 22 122.29468 11.10531 6.08 11.85356695924307 3.463686694168849 0.06494949492683372 1.0783076239151872 1101.0238542000006 7.921034922302163
